City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,mukalla,14.5425,49.1242,24.71,58,54,1.81,YE,1731535731
188,albacete,38.8333,-2.0,8.45,93,75,1.03,ES,1731535741
189,gamba,-2.65,10.0,25.39,90,100,3.94,GA,1731535742
190,merizo village,13.2658,144.6691,27.21,92,100,5.99,GU,1731535743
191,port saint john's,-31.6229,29.5448,17.53,81,100,3.74,ZA,1731535744
192,port hedland,-20.3167,118.5667,30.03,45,48,5.14,AU,1731535745
193,elko,41.0002,-115.5012,10.13,44,89,2.68,US,1731535468
194,longford,53.7333,-7.8,10.96,98,100,1.81,IE,1731535747
195,san jose del guaviare,2.5729,-72.6459,29.19,70,93,1.64,CO,1731535748
196,tolanaro,-25.0319,46.9987,23.07,96,11,2.23,MG,1731535749
197,kourou,5.1552,-52.6478,25.16,89,26,2.85,GF,1731535750
198,san pedro pochutla,15.7333,-96.4667,30.4,68,74,2.3,MX,1731535751
199,hilo,19.7297,-155.09,26.73,83,100,2.57,US,1731535660
200,akdepe,42.0551,59.3788,0.64,53,3,1.97,TM,1731535753
201,mejit,10.2753,170.8646,28.45,69,79,6.98,MH,1731535754
202,tura,25.5198,90.2201,17.4,80,0,2.03,IN,1731535755
203,tamanrasset,22.785,5.5228,13.95,21,0,2.06,DZ,1731535757
204,klaksvik,62.2266,-6.589,8.63,81,100,8.47,FO,1731535758
205,rawdon,46.0501,-73.7159,-0.81,52,5,1.2,CA,1731535759
206,strathmore,51.0501,-113.3852,6.74,46,100,1.53,CA,1731535760
207,aras-asan,8.8908,126.3033,25.19,89,100,1.51,PH,1731535761
208,zapala,-38.8992,-70.0544,23.78,24,73,10.89,AR,1731535762
209,port mathurin,-19.6833,63.4167,24.49,83,21,7.13,MU,1731535672
210,la'ie,21.6477,-157.9253,26.73,70,81,6.71,US,1731535764
211,east london,-33.0153,27.9116,17.32,65,99,3.03,ZA,1731535765
212,margaret river,-33.95,115.0667,12.04,92,34,4.13,AU,1731535767
213,susuman,62.7833,148.1667,-23.1,98,100,1.29,RU,1731535768
214,general conesa,-40.1,-64.4333,28.51,19,95,3.24,AR,1731535769
215,al lagowa,11.4,29.1333,26.04,31,5,6.09,SD,1731535770
216,kerikeri,-35.2268,173.9474,20.51,92,100,4.02,NZ,1731535771
217,sarupathar,26.1984,93.8094,17.57,96,0,0.52,IN,1731535772
218,magadan,59.5667,150.8,-16.37,74,37,4.73,RU,1731535773
219,bodaybo,57.8506,114.1933,-17.65,97,100,1.1,RU,1731535775
220,torghay,49.6339,63.4981,-2.36,86,89,4.24,KZ,1731535776
221,haiku-pauwela,20.9219,-156.3051,27.36,73,40,12.52,US,1731535777
222,undurkhaan,47.3194,110.6556,-1.5,53,3,0.96,MN,1731535778
223,jacmel,18.2342,-72.5347,26.54,84,94,1.47,HT,1731535780
224,katsuura,35.1333,140.3,17.89,74,69,5.32,JP,1731535781
225,maceio,-9.6658,-35.7353,24.69,78,20,4.63,BR,1731535584
226,talnakh,69.4865,88.3972,-24.02,100,98,0.96,RU,1731535664
227,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,61,0,5.0,RU,1731535784
228,belmonte,-15.8631,-38.8828,25.34,82,47,4.85,BR,1731535785
229,sangolqui,-0.3341,-78.4522,18.27,74,98,2.03,EC,1731535786
230,st. john's,47.5649,-52.7093,3.49,97,100,15.95,CA,1731535579
231,labrador city,52.9463,-66.9114,-7.12,68,7,4.92,CA,1731535788
232,patao,11.2202,123.6925,28.38,76,100,2.18,PH,1731535789
233,sao vicente,-23.9631,-46.3919,19.99,26,100,1.34,BR,1731535790
234,czarna bialostocka,53.3051,23.2815,-0.66,90,91,1.8,PL,1731535791
235,tafuna,-14.3358,-170.72,29.97,79,75,7.2,AS,1731535793
